xflr5 v6.39,,,,,,,,,
,,,,,,,,,
 Calculated polar for: NACA 4512,,,,,,,,,
,,,,,,,,,
 1 1 Reynolds number fixed          Mach number fixed         ,,,,,,,,,
,,,,,,,,,
 xtrf =   1.000 (top)        1.000 (bottom),,,,,,,,,
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000,,,,,,,,,
,,,,,,,,,
alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-5,-0.3795,0.03453,0.02723,-0.0692,0.9921,0.1012,-2.5725,0,0.0597
-4.75,-0.3381,0.03275,0.025,-0.0728,0.9875,0.1079,-2.4503,0,0.0263
-4.5,-0.2989,0.03118,0.02286,-0.0755,0.9818,0.1128,-2.3651,0,-0.0119
-4.25,-0.2597,0.0293,0.02092,-0.0788,0.9773,0.1224,-2.2401,0,-0.0634
-4,-0.2163,0.02875,0.02007,-0.0821,0.9731,0.1341,-2.1013,0,-0.1412
-3.75,-0.1776,0.02757,0.01879,-0.0848,0.9684,0.1455,-1.9744,0,-0.2406
-3.5,-0.1458,0.0273,0.01836,-0.0859,0.9605,0.1604,-1.8477,0,-0.3541
-3.25,-0.1061,0.02653,0.01767,-0.0887,0.955,0.1785,-1.715,0,-0.6045
-3,-0.0623,0.0262,0.01733,-0.0921,0.9508,0.2041,-1.5814,0,-1.2574
-2.75,-0.028,0.02589,0.01706,-0.0937,0.9445,0.23,-1.4667,0,-3.1535
-2.5,0.0015,0.02562,0.01687,-0.0945,0.936,0.2603,-1.3584,0,64.9032
-2.25,0.0415,0.02534,0.01672,-0.0971,0.9301,0.2999,-1.2314,0,2.6254
-2,0.0861,0.02524,0.01672,-0.1005,0.9258,0.3498,-1.1097,0,1.4314
-1.75,0.1102,0.02513,0.01683,-0.1002,0.9169,0.3887,-1.024,0,1.1691
-1.5,0.142,0.02498,0.01686,-0.1011,0.9087,0.4384,-0.9262,0,0.9692
-1.25,0.1821,0.02477,0.01687,-0.1034,0.9033,0.4985,-0.8237,0,0.8223
-1,0.2265,0.02452,0.01688,-0.1063,0.8995,0.5716,-0.721,0,0.7219
-0.75,0.2389,0.02452,0.01712,-0.1036,0.8874,0.6296,-0.6669,0,0.6855
-0.5,0.2691,0.02406,0.0171,-0.1032,0.8807,0.7381,-0.5954,0,0.6346
-0.25,0.3079,0.02343,0.01678,-0.104,0.8758,1,-0.5718,0,0.5881
0,0.3293,0.02386,0.01701,-0.1035,0.8646,1,-0.5853,0,0.564
0.25,0.364,0.02398,0.01696,-0.1049,0.8563,1,-0.6088,0,0.5375
0.5,0.4091,0.0239,0.01672,-0.1079,0.8515,1,-0.639,0,0.5126
0.75,0.4529,0.02384,0.01654,-0.1105,0.8469,1,-0.6697,0,0.4925
1,0.4632,0.02442,0.01706,-0.1079,0.8322,1,-0.6798,0,0.4811
1.25,0.507,0.02418,0.01674,-0.1104,0.8272,1,-0.7122,0,0.4655
1.5,0.555,0.02377,0.01626,-0.1134,0.8237,1,-0.7497,0,0.4517
2,0.6053,0.02417,0.01659,-0.1123,0.803,1,-0.7963,0,0.4324
2.25,0.6504,0.02359,0.016,-0.1145,0.7991,1,-0.8362,0,0.4226
2.75,0.7027,0.02383,0.01623,-0.1134,0.7785,1,-0.8939,0,0.4075
3,0.7467,0.02313,0.01552,-0.1152,0.774,1,-0.9414,0,0.4001
3.5,0.8011,0.02316,0.01561,-0.1142,0.7532,1,-1.0218,0,0.3878
3.75,0.8457,0.02232,0.01477,-0.1158,0.7479,1,-1.0953,0,0.382
4,0.8643,0.02273,0.01523,-0.1141,0.7343,1,-1.1474,0,0.3768
4.25,0.9018,0.02215,0.01467,-0.1148,0.7255,1,-1.2345,0,0.3718
4.5,0.9476,0.0213,0.01384,-0.1166,0.7191,1,-1.346,0,0.3673
