xflr5 v6.39,,,,,,,,,
,,,,,,,,,
 Calculated polar for: NACA 0012,,,,,,,,,
,,,,,,,,,
 1 1 Reynolds number fixed          Mach number fixed         ,,,,,,,,,
,,,,,,,,,
 xtrf =   1.000 (top)        1.000 (bottom),,,,,,,,,
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000,,,,,,,,,
,,,,,,,,,
alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-5,-0.6141,0.01675,0.00846,0.0077,1,0.3641,-1.9874,0,0.2568
-4.75,-0.5954,0.01626,0.00815,0.0095,1,0.4044,-1.8865,0,0.2603
-4.5,-0.5761,0.01585,0.0079,0.0112,1,0.4447,-1.7853,0,0.264
-4.25,-0.5564,0.0155,0.00772,0.0129,1,0.4835,-1.6839,0,0.2679
-4,-0.5364,0.0152,0.00755,0.0145,1,0.5224,-1.5832,0,0.272
-3.75,-0.516,0.01493,0.00746,0.0162,1,0.5591,-1.4914,0,0.2766
-3.5,-0.4955,0.01472,0.00733,0.0178,1,0.5973,-1.4032,0,0.2814
-3.25,-0.4747,0.01453,0.00732,0.0196,1,0.6326,-1.3151,0,0.2868
-3,-0.454,0.01441,0.00734,0.0214,1,0.6683,-1.2293,0,0.2928
-2.75,-0.4336,0.01432,0.00734,0.0231,1,0.7047,-1.154,0,0.2993
-2.5,-0.4129,0.0143,0.00746,0.0251,1,0.7385,-1.0789,0,0.3069
-2.25,-0.3926,0.01435,0.00763,0.0272,1,0.772,-1.0073,0,0.3156
-2,-0.3728,0.01446,0.00779,0.0294,1,0.8062,-0.9437,0,0.3253
-1.75,-0.3535,0.01461,0.00799,0.0316,1,0.8407,-0.8819,0,0.3359
-1.5,-0.3301,0.0149,0.00833,0.0332,1,0.8719,-0.8211,0,0.3475
-1.25,-0.2996,0.01528,0.00871,0.0333,1,0.9023,-0.7543,0,0.3582
-1,-0.2564,0.01573,0.00912,0.0306,1,0.9298,-0.6829,0,0.3666
-0.75,-0.2009,0.01618,0.00951,0.0252,1,0.9524,-0.6075,0,0.3727
-0.5,-0.1364,0.01656,0.00985,0.0177,1,0.9709,-0.5341,0,0.377
-0.25,-0.0665,0.01681,0.01006,0.0087,1,0.9855,-0.4665,0,0.3786
0,0,0.01694,0.01019,0,1,1,-0.4098,0,0.3703
0.25,0.0665,0.01681,0.01006,-0.0087,0.9855,1,-0.4665,0,0.3786
0.5,0.1364,0.01656,0.00984,-0.0177,0.9709,1,-0.5341,0,0.3769
0.75,0.2009,0.01618,0.00951,-0.0252,0.9524,1,-0.6074,0,0.3727
1,0.2563,0.01572,0.00911,-0.0306,0.9298,1,-0.6828,0,0.3666
1.25,0.2996,0.01528,0.00871,-0.0333,0.9024,1,-0.7542,0,0.3582
1.5,0.33,0.0149,0.00833,-0.0332,0.8719,1,-0.821,0,0.3474
1.75,0.3534,0.01461,0.00799,-0.0315,0.8408,1,-0.8818,0,0.3359
2,0.3727,0.01446,0.00779,-0.0294,0.8062,1,-0.9435,0,0.3252
2.25,0.3925,0.01435,0.00762,-0.0272,0.7721,1,-1.0071,0,0.3155
2.5,0.4128,0.0143,0.00746,-0.0251,0.7386,1,-1.0787,0,0.3069
2.75,0.4335,0.01432,0.00734,-0.0231,0.7048,1,-1.1538,0,0.2992
3,0.4539,0.01441,0.00733,-0.0213,0.6683,1,-1.2291,0,0.2927
3.25,0.4746,0.01453,0.00731,-0.0195,0.6327,1,-1.3148,0,0.2867
3.5,0.4954,0.01472,0.00733,-0.0178,0.5974,1,-1.4029,0,0.2813
3.75,0.5159,0.01493,0.00746,-0.0162,0.5592,1,-1.4912,0,0.2765
4,0.5362,0.0152,0.00755,-0.0145,0.5225,1,-1.583,0,0.272
4.25,0.5563,0.0155,0.00772,-0.0128,0.4836,1,-1.6836,0,0.2679
4.5,0.576,0.01585,0.0079,-0.0111,0.4448,1,-1.785,0,0.2639
4.75,0.5953,0.01626,0.00815,-0.0095,0.4045,1,-1.8862,0,0.2603
5,0.614,0.01675,0.00845,-0.0077,0.3642,1,-1.9871,0,0.2567
5.25,0.6325,0.01731,0.00885,-0.006,0.3227,1,-2.0866,0,0.2534
5.5,0.6502,0.01802,0.00928,-0.0042,0.2843,1,-2.1969,0,0.2502
5.75,0.6684,0.01876,0.00988,-0.0025,0.2478,1,-2.3058,0,0.2473
6,0.6864,0.01958,0.01054,-0.0008,0.2168,1,-2.4143,0,0.2445
6.25,0.7049,0.02051,0.01134,0.0008,0.192,1,-2.521,0,0.2419
6.5,0.7238,0.02152,0.01227,0.0024,0.1717,1,-2.6272,0,0.2396
6.75,0.7429,0.02272,0.0133,0.0038,0.1552,1,-2.7343,0,0.2376
7,0.7632,0.02361,0.01428,0.0052,0.1422,1,-2.8389,0,0.2356
7.25,0.7834,0.02512,0.0157,0.0064,0.131,1,-2.9597,0,0.2341
7.5,0.8035,0.02603,0.01675,0.0078,0.1211,1,-3.0822,0,0.2323
7.75,0.8245,0.02755,0.01818,0.0088,0.1135,1,-3.2078,0,0.2311
8,0.8446,0.02954,0.02041,0.01,0.1077,1,-3.3077,0,0.2297
8.25,0.8637,0.03075,0.02183,0.0114,0.1013,1,-3.4198,0,0.2281
8.5,0.8829,0.03198,0.02311,0.0126,0.0956,1,-3.5447,0,0.2268
8.75,0.9011,0.03459,0.02577,0.0136,0.0915,1,-3.6438,0,0.2258
9,0.9139,0.03775,0.02929,0.0153,0.0891,1,-3.6938,0,0.2239
9.25,0.9261,0.03989,0.03183,0.0173,0.0869,1,-3.7518,0,0.2218
9.5,0.9358,0.04222,0.03454,0.0193,0.0841,1,-3.803,0,0.2196
9.75,0.9446,0.04449,0.0371,0.0212,0.081,1,-3.881,0,0.2175
10,0.9529,0.04686,0.03972,0.0229,0.0785,1,-3.9609,0,0.2157
10.25,0.9558,0.04996,0.04309,0.0248,0.0773,1,-4.0025,0,0.2136
10.5,0.953,0.05346,0.04688,0.0268,0.0766,1,-4.0145,0,0.2111
10.75,0.9372,0.05776,0.05153,0.0291,0.0767,1,-3.9585,0,0.2079
11,0.8964,0.0632,0.05736,0.0317,0.0781,1,-3.7877,0,0.2032
11.25,0.8362,0.07187,0.06632,0.0292,0.0806,1,-3.5019,0,0.2031
11.5,0.7635,0.08803,0.08263,0.0171,0.085,1,-3.0498,0,0.2152
11.75,0.7326,0.1003,0.09487,0.0101,0.0878,1,-2.8001,0,0.2237
12,0.7259,0.10698,0.10153,0.0087,0.0895,1,-2.7446,0,0.2253
12.25,0.6323,0.13799,0.13244,-0.015,0.1443,1,-1.7289,0,0.2617
12.5,0.6394,0.14153,0.13599,-0.0154,0.1405,1,-1.7567,0,0.2619
12.75,0.6536,0.14496,0.13945,-0.0147,0.1376,1,-1.8231,0,0.2601
13,0.6786,0.14925,0.14379,-0.0119,0.1351,1,-1.9475,0,0.2551
13.25,0.6893,0.15753,0.15208,-0.0114,0.1333,1,-1.9761,0,0.254
13.5,0.6697,0.16052,0.15499,-0.017,0.1323,1,-1.8415,0,0.2623
13.75,0.6455,0.1623,0.15669,-0.0232,0.1264,1,-1.6852,0,0.2725
14,0.648,0.16574,0.16013,-0.0249,0.1218,1,-1.6761,0,0.2746
14.25,0.6571,0.169,0.16343,-0.0253,0.1175,1,-1.7105,0,0.2744
14.5,0.6898,0.17329,0.16779,-0.0215,0.1128,1,-1.8925,0,0.2669
14.75,0.7051,0.18242,0.17692,-0.0203,0.1108,1,-1.943,0,0.2645
15,0.6966,0.18515,0.17961,-0.0244,0.1103,1,-1.8498,0,0.2704
